ID,PIT_Tag,scale_factor,Sex,Maturity,Site,Control-Treatment?,Recap?,Notes,horizontal_eye_diameter,head_depth_through_eye,postorbital_length,head_length,maximum_body_depth,minimum_caudal_peduncle_depth,predorsal_length,postdorsal_length,pect-pelvic_distance,pelvic-anal_distance,pectoral-anal_distance,preanal_length,fork_length,fork_measured,dorsal_fin_base_length,anterior_dorsal_height,posterior_dorsal_height,anal_fin_base_length,anal_fin_height,pectoral_fin_length,pelvic_fin_length,adipose_fin_base,adipose_height,dorsal_end_length,dorsal_to_adipose,dorsal_reach_adipose,papillae,problems
092320_1926,,0.095199,F,,,,,,11.71,21.8,29.33,44.84,62.5,22.95,86.44,114.43,94.37,84.54,178.91,220.86,307.35,310,82.03,28.82,53.47,22.83,27.03,55.13,48.33,NA,NA,53.53,76.54,no,,no
092320_1930,,0.111084,M,,,,,,11.78,25.99,35.88,53.99,73.47,27.45,99.75,131.08,104.33,90.09,194.42,249.72,351.16,359,92.1,27.26,87.67,34.36,29.12,58.32,54.16,6,5.75,88.38,83.58,yes,,no
092320_1938,,0.10517,M,,,,,,15.69,29.55,29.45,54.69,68.78,24.41,100.54,125.72,109.06,77.09,186.15,239.89,345.95,345,90.48,27.54,99.83,35.41,29.77,64.79,59.06,5.6,5.05,85.78,77.84,yes,,no
092320_1942,,0.098932,F,,,,,,12.08,24.14,26.71,44.52,72.53,25.73,93.39,129.91,102.1,88.05,190.15,233.59,335.93,335,92.15,22.18,70.3,37.71,34.09,55.1,56.3,4.89,4.75,73.24,77.36,no,,no
092320_1946,,0.108689,M,,,,,,12.97,27.61,31.31,58.81,76.08,26.69,99.58,130.43,108.37,84.79,193.16,245.65,351.64,361,96.68,27.4,91.48,35.85,29.97,64.68,56.55,5.55,5.5,75.41,80.85,no,,yes
092320_1951,,0.107521,M,,,,,,12.06,25.27,29.9,49.04,73.28,25.47,94.08,134.95,102.16,84.84,187,236.23,347.35,342,89.65,22.71,98.21,34.28,33.6,60.67,51.56,5.3,4.8,106.58,87.29,yes,,no
092320_1954,,0.101005,M,,,,,,12.43,26.47,30.31,52.93,63.44,23.15,94.94,119.29,96.46,74.5,170.96,222.11,315.96,330,81.59,24.53,97.29,33.57,26.72,62.61,58.12,5.7,6.37,90.34,72.36,yes,,no
092320_1958,,0.093442,M,,,,,,12.15,25.98,29.16,47.38,67.96,26.92,94.67,125.33,106.06,78.68,184.74,229.5,332.23,325,87.86,24.04,88.23,32.9,30.44,60.92,51.92,6.15,5.2,63.14,72.95,no,,no
092420_1608,,0.106359,F,,,,,,12.88,28.08,29.67,50.2,70.93,23.83,102.43,124.24,109.44,84.14,193.58,242.18,337.46,335,87.66,21.28,59.1,32.47,29.36,54.8,44.4,4.82,5.6,68.99,76.31,no,,no
092420_1612,,0.12811,M,,,,,,14.36,32.29,34.08,58.43,85.58,28.6,113.01,139.13,123.12,93.39,216.51,274.3,396.55,390,111.22,35.88,126.39,47.23,43.73,73.63,74.47,5.85,6.42,110.97,85.59,yes,,no
092420_1627,,0.090849,M,,,,,,11.54,26.08,28.35,48.07,66.2,23.01,96.22,122.83,102.59,83.76,186.35,229.21,326.18,324,87.89,22.34,82.83,35.66,26.32,60.88,53.1,NA,NA,79.87,71.5,yes,,no
092420_1633,,0.111084,M,,,,,,12.78,30.99,33.99,54.99,81.01,27.33,112.09,135.35,117.32,96.53,213.85,269.39,373.57,380,104.38,29.41,98.04,40.33,33.17,71.97,85,5.75,5.72,92.42,82.7,yes,,pelvic
092420_1640,,0.09899,F,,,,,,11.29,23.96,28.02,45.34,62.77,21.81,88.3,117.8,96.5,75.34,171.84,213.43,297.27,307,73.37,22.57,60.16,31.74,28.17,43.58,43.02,4.92,5.42,65.73,71.8,no,,no
092420_1651,,0.100928,F,,,,,,12.21,29.27,29.57,50.57,79.4,27.45,111.02,133.22,120.52,87.61,208.13,257.58,357.03,352,88.24,27.04,66.64,37.67,35.4,63.37,59.17,7.03,5.46,64.17,84,no,,no
092420_1700,,0.106377,M,,,,,,12.98,28.63,29.37,51.38,74.19,26.06,92.87,129.48,103.95,82.87,186.82,235.45,338.04,329,92.73,22.71,101.57,38.89,31.42,64.04,62.75,4.58,5.5,96.55,78.63,yes,,no
092420_1716,,0.101005,F,,,,,,12.43,24.95,27.98,48.49,67.17,24.43,104.84,128.12,109.59,84.04,193.63,237.38,336.17,331,79.41,22.84,51.63,37.16,31.37,56.62,45.97,4.88,5.8,49.83,77.88,no,,no
